t,hs6,i,j,trade_usd_thousands,qty_tons,i_iso3,j_iso3,mineral
2010,250410,36,458,26.321,6.19,AUS,MYS,Natural graphite
2010,250410,36,764,7.948,1.155,AUS,THA,Natural graphite
2010,250410,156,96,60.78,42.0,CHN,BRN,Natural graphite
2010,250410,156,104,0.328,0.643,CHN,MMR,Natural graphite
2010,250410,156,116,6.24,24.0,CHN,KHM,Natural graphite
2010,250410,156,360,1348.222,5525.815,CHN,IDN,Natural graphite
2010,250410,156,418,0.31,1.0,CHN,LAO,Natural graphite
2010,250410,156,458,152.604,790.565,CHN,MYS,Natural graphite
2010,250410,156,608,424.99,4286.0,CHN,PHL,Natural graphite
2010,250410,156,702,50.551,305.995,CHN,SGP,Natural graphite
2010,250410,156,704,131.235,122.968,CHN,VNM,Natural graphite
2010,250410,156,764,360.048,614.999,CHN,THA,Natural graphite
2010,250410,251,458,23.133,6.193,FRA,MYS,Natural graphite
2010,250410,276,360,35.898,20.325,DEU,IDN,Natural graphite
2010,250410,276,458,14.975,7.083,DEU,MYS,Natural graphite
2010,250410,276,608,6.6,2.7,DEU,PHL,Natural graphite
2010,250410,276,702,3.524,0.768,DEU,SGP,Natural graphite
2010,250410,276,704,7.621,6.96,DEU,VNM,Natural graphite
2010,250410,276,764,341.967,96.683,DEU,THA,Natural graphite
2010,250410,380,702,7.135,0.03,ITA,SGP,Natural graphite
2010,250410,392,360,677.996,75.541,JPN,IDN,Natural graphite
2010,250410,392,458,898.804,504.627,JPN,MYS,Natural graphite
2010,250410,392,702,227.42,38.509,JPN,SGP,Natural graphite
2010,250410,392,704,461.461,220.474,JPN,VNM,Natural graphite
2010,250410,392,764,450.498,118.052,JPN,THA,Natural graphite
2010,250410,410,104,1.455,3.0,KOR,MMR,Natural graphite
2010,250410,410,360,1.731,0.197,KOR,IDN,Natural graphite
2010,250410,410,608,1.3,0.001,KOR,PHL,Natural graphite
2010,250410,410,704,2.411,8.2,KOR,VNM,Natural graphite
2010,250410,410,764,8.7,2.98,KOR,THA,Natural graphite
2010,250410,458,156,142.046,39.605,MYS,CHN,Natural graphite
2010,250410,702,156,0.13,0.125,SGP,CHN,Natural graphite
2010,250410,702,392,0.658,0.15,SGP,JPN,Natural graphite
2010,250410,752,458,1.888,1.0,SWE,MYS,Natural graphite
2010,250410,752,764,61.144,11.975,SWE,THA,Natural graphite
2010,250410,764,392,0.001,0.002,THA,JPN,Natural graphite
2010,250410,826,360,93.775,7.0,GBR,IDN,Natural graphite
2010,250410,826,702,9.46,6.12,GBR,SGP,Natural graphite
2010,250410,826,764,68.373,70.817,GBR,THA,Natural graphite
2010,250410,842,360,205.919,1381.371,USA,IDN,Natural graphite
2010,250410,842,458,157.973,95.538,USA,MYS,Natural graphite
2010,250410,842,702,34.651,7.04,USA,SGP,Natural graphite
2010,250410,842,764,79.313,36.748,USA,THA,Natural graphite
2010,253090,36,360,223.629,752.802,AUS,IDN,Other minerals
2010,253090,36,458,145.278,385.722,AUS,MYS,Other minerals
2010,253090,36,608,10.776,2.11,AUS,PHL,Other minerals
2010,253090,36,702,4.673,2.05,AUS,SGP,Other minerals
2010,253090,36,704,80.167,194.193,AUS,VNM,Other minerals
2010,253090,36,764,22.797,50.579,AUS,THA,Other minerals
2010,253090,56,360,53.613,39.133,BEL,IDN,Other minerals
2010,253090,56,458,11.564,12.5,BEL,MYS,Other minerals
2010,253090,56,702,9.241,30.79,BEL,SGP,Other minerals
2010,253090,56,704,12.089,1.6,BEL,VNM,Other minerals
2010,253090,56,764,5.488,1.45,BEL,THA,Other minerals
2010,253090,96,251,1.325,1.5,BRN,FRA,Other minerals
2010,253090,104,156,7652.709,3341.005,MMR,CHN,Other minerals
2010,253090,104,392,3.324,28.414,MMR,JPN,Other minerals
2010,253090,116,36,0.1,0.1,KHM,AUS,Other minerals
