asean_country,year,partner_iso3,partner_group,asean_role,mineral_class,mineral_label,end_use,hs6,value_usd_millions,qty_tons
BRN,2010,CHN,CHN,importer,Graphite,Natural graphite,Battery anode,250410,0.06078,42.0
BRN,2010,ESP,EU,importer,Lithium,Other Li-bearing,Other,253090,0.004345,17.7
BRN,2010,FRA,EU,exporter,Lithium,Other Li-bearing,Other,253090,0.001325,1.5
BRN,2010,NLD,EU,importer,Lithium,Other Li-bearing,Other,253090,0.002653,8.006
BRN,2010,USA,USA,importer,Lithium,Other Li-bearing,Other,253090,0.00014000000000000001,0.002
BRN,2010,CHN,CHN,importer,Other,Other sulfates,Other,283329,0.00013800000000000002,0.035
BRN,2010,GBR,GBR,importer,Other,Other sulfates,Other,283329,0.0005,0.015
BRN,2011,GBR,GBR,importer,Copper,Copper ore,Upstream ore,260300,1.6e-05,0.007
BRN,2011,USA,USA,importer,Graphite,Natural graphite,Battery anode,250410,0.00010899999999999999,0.002
BRN,2011,FRA,EU,exporter,Lithium,Other Li-bearing,Other,253090,0.00146,1.65
BRN,2011,NLD,EU,importer,Lithium,Other Li-bearing,Other,253090,0.0017529999999999998,6.4
BRN,2011,GBR,GBR,importer,Lithium,Lithium carbonate,Battery precursor,283691,6.3e-05,0.012
BRN,2011,USA,USA,importer,Lithium,Other Li-bearing,Other,253090,0.013816,5.307
BRN,2011,CHN,CHN,importer,Other,Other sulfates,Other,283329,6.500000000000001e-05,0.01
BRN,2011,GBR,GBR,importer,Other,Other sulfates,Other,283329,0.0030800000000000003,0.096
BRN,2011,USA,USA,importer,Other,Other sulfates,Other,283329,0.000297,0.007
BRN,2012,CHN,CHN,importer,Lithium,Other Li-bearing,Other,253090,0.002883,0.0
BRN,2012,NLD,EU,importer,Lithium,Other Li-bearing,Other,253090,0.0016200000000000001,6.4
BRN,2012,USA,USA,importer,Lithium,Other Li-bearing,Other,253090,0.0013540000000000002,0.0
BRN,2012,GBR,GBR,importer,Other,Other sulfates,Other,283329,0.001736,0.0
BRN,2013,GBR,GBR,importer,Cobalt,Cobalt ore,Upstream ore,260500,8.2e-05,0.001
BRN,2013,DEU,EU,importer,Graphite,Natural graphite,Battery anode,250410,0.000128,0.003
BRN,2013,GBR,GBR,importer,Lithium,Other Li-bearing,Other,253090,0.000111,0.0
BRN,2013,USA,USA,importer,Lithium,Other Li-bearing,Other,253090,0.025879000000000003,38.921
BRN,2013,CHN,CHN,importer,Other,Other sulfates,Other,283329,0.00040500000000000003,0.011
BRN,2013,FRA,EU,importer,Other,Other sulfates,Other,283329,0.0016790000000000002,0.012
BRN,2013,GBR,GBR,importer,Other,Other sulfates,Other,283329,0.000708,0.009
BRN,2013,USA,USA,importer,Other,Other sulfates,Other,283329,0.002836,0.0
BRN,2014,GBR,GBR,importer,Copper,Copper ore,Upstream ore,260300,4.7e-05,0.001
BRN,2014,NLD,EU,exporter,Lithium,Other Li-bearing,Other,253090,3.9e-05,0.001
BRN,2014,NLD,EU,importer,Lithium,Other Li-bearing,Other,253090,0.00172,6.4
BRN,2014,GBR,GBR,exporter,Lithium,Other Li-bearing,Other,253090,0.001424,0.016
BRN,2014,CHN,CHN,importer,Other,Other sulfates,Other,283329,1.7e-05,0.001
BRN,2014,GBR,GBR,importer,Other,Other sulfates,Other,283329,2e-05,0.001
BRN,2014,USA,USA,importer,Other,Other sulfates,Other,283329,0.0033940000000000003,0.105
BRN,2015,GBR,GBR,importer,Copper,Copper ore,Upstream ore,260300,0.00028100000000000005,0.005
BRN,2015,CHN,CHN,importer,Lithium,Other Li-bearing,Other,253090,0.00434,0.2
BRN,2015,NLD,EU,importer,Lithium,Other Li-bearing,Other,253090,0.00174,6.404
BRN,2015,GBR,GBR,importer,Lithium,Lithium carbonate,Battery precursor,283691,2e-05,0.0
BRN,2015,GBR,GBR,importer,Other,Other sulfates,Other,283329,0.000868,0.004
BRN,2015,USA,USA,importer,Other,Other sulfates,Other,283329,0.045567,11.464
BRN,2016,GBR,GBR,importer,Cobalt,Cobalt ore,Upstream ore,260500,0.000523,0.007
BRN,2016,BEL,EU,importer,Lithium,Other Li-bearing,Other,253090,0.000256,1.029
BRN,2016,NLD,EU,importer,Lithium,Other Li-bearing,Other,253090,0.00106,4.0
BRN,2016,USA,USA,importer,Lithium,Lithium carbonate,Battery precursor,283691,0.000157,0.0
BRN,2016,USA,USA,importer,Lithium,Other Li-bearing,Other,253090,0.001964,0.487
BRN,2016,CHN,CHN,importer,Other,Other sulfates,Other,283329,0.000309,0.339
BRN,2016,DEU,EU,importer,Other,Other sulfates,Other,283329,9.1e-05,0.002
BRN,2016,GBR,GBR,importer,Other,Other sulfates,Other,283329,0.000516,0.01
BRN,2016,KOR,KOR,importer,Other,Other sulfates,Other,283329,2.1000000000000002e-05,0.001
BRN,2016,USA,USA,importer,Other,Other sulfates,Other,283329,0.0038439999999999998,0.201
BRN,2017,CHN,CHN,importer,Lithium,Other Li-bearing,Other,253090,3.2e-05,2.8
BRN,2017,GBR,GBR,exporter,Lithium,Other Li-bearing,Other,253090,0.00010899999999999999,0.002
BRN,2017,USA,USA,importer,Lithium,Other Li-bearing,Other,253090,0.001615,0.637
BRN,2017,CHN,CHN,importer,Other,Other sulfates,Other,283329,0.078984,355.998
BRN,2017,JPN,JPN,importer,Other,Other sulfates,Other,283329,0.000166,0.035
BRN,2017,AUS,OTHER,importer,Other,Other sulfates,Other,283329,0.015269,0.087
BRN,2018,KOR,KOR,importer,Graphite,Natural graphite,Battery anode,250410,0.00101,0.122
BRN,2018,USA,USA,importer,Graphite,Natural graphite,Battery anode,250410,1e-05,0.002
BRN,2018,AUS,OTHER,importer,Lithium,Other Li-bearing,Other,253090,0.0009469999999999999,0.273
BRN,2018,USA,USA,importer,Lithium,Other Li-bearing,Other,253090,0.013094,1.415
BRN,2018,CHN,CHN,importer,Other,Other sulfates,Other,283329,0.064003,326.0
BRN,2018,DEU,EU,importer,Other,Other sulfates,Other,283329,5e-06,0.022
BRN,2018,GBR,GBR,importer,Other,Other sulfates,Other,283329,1.4e-05,0.058
BRN,2018,KOR,KOR,importer,Other,Other sulfates,Other,283329,4.2000000000000004e-05,0.001
