country_iso3,country_name,country_group,year,metric,unit,value
BRN,Brunei Darussalam,ASEAN,2000,fdi_net_inflow_usd,USD,549607250.0
BRN,Brunei Darussalam,ASEAN,2000,gdp_constant_2015_usd,USD constant 2015,12244033143.1515
BRN,Brunei Darussalam,ASEAN,2000,gdp_current_usd,USD,6570999087.56742
BRN,Brunei Darussalam,ASEAN,2000,gdp_per_capita_usd,USD,20130.2572346624
BRN,Brunei Darussalam,ASEAN,2000,population,persons,326424.0
BRN,Brunei Darussalam,ASEAN,2000,trade_pct_gdp,% of GDP,87.0553329877697
BRN,Brunei Darussalam,ASEAN,2001,fdi_net_inflow_usd,USD,60694643.6567848
BRN,Brunei Darussalam,ASEAN,2001,gdp_constant_2015_usd,USD constant 2015,12423538115.8353
BRN,Brunei Darussalam,ASEAN,2001,gdp_current_usd,USD,6096155767.38145
BRN,Brunei Darussalam,ASEAN,2001,gdp_per_capita_usd,USD,18287.8272281914
BRN,Brunei Darussalam,ASEAN,2001,population,persons,333345.0
BRN,Brunei Darussalam,ASEAN,2001,trade_pct_gdp,% of GDP,91.0997876196857
BRN,Brunei Darussalam,ASEAN,2002,fdi_net_inflow_usd,USD,229671955.675395
BRN,Brunei Darussalam,ASEAN,2002,gdp_constant_2015_usd,USD constant 2015,12915688987.5154
BRN,Brunei Darussalam,ASEAN,2002,gdp_current_usd,USD,6333082875.56937
BRN,Brunei Darussalam,ASEAN,2002,gdp_per_capita_usd,USD,18621.2922577525
BRN,Brunei Darussalam,ASEAN,2002,population,persons,340099.0
BRN,Brunei Darussalam,ASEAN,2002,trade_pct_gdp,% of GDP,93.2161814722477
BRN,Brunei Darussalam,ASEAN,2003,fdi_net_inflow_usd,USD,123820911.146426
BRN,Brunei Darussalam,ASEAN,2003,gdp_constant_2015_usd,USD constant 2015,13378513545.1324
BRN,Brunei Darussalam,ASEAN,2003,gdp_current_usd,USD,7167725261.92713
BRN,Brunei Darussalam,ASEAN,2003,gdp_per_capita_usd,USD,20677.9001143188
BRN,Brunei Darussalam,ASEAN,2003,population,persons,346637.0
BRN,Brunei Darussalam,ASEAN,2003,trade_pct_gdp,% of GDP,89.085616098756
BRN,Brunei Darussalam,ASEAN,2004,fdi_net_inflow_usd,USD,113205866.961457
BRN,Brunei Darussalam,ASEAN,2004,gdp_constant_2015_usd,USD constant 2015,13392499225.471
BRN,Brunei Darussalam,ASEAN,2004,gdp_current_usd,USD,8619178773.51458
BRN,Brunei Darussalam,ASEAN,2004,gdp_per_capita_usd,USD,24423.0946995548
BRN,Brunei Darussalam,ASEAN,2004,population,persons,352911.0
BRN,Brunei Darussalam,ASEAN,2004,trade_pct_gdp,% of GDP,84.8821666638192
BRN,Brunei Darussalam,ASEAN,2005,fdi_net_inflow_usd,USD,175068516.562807
BRN,Brunei Darussalam,ASEAN,2005,gdp_constant_2015_usd,USD constant 2015,13391973527.4748
BRN,Brunei Darussalam,ASEAN,2005,gdp_current_usd,USD,10547202620.5286
BRN,Brunei Darussalam,ASEAN,2005,gdp_per_capita_usd,USD,29386.2703822862
BRN,Brunei Darussalam,ASEAN,2005,population,persons,358916.0
BRN,Brunei Darussalam,ASEAN,2005,trade_pct_gdp,% of GDP,81.6201140155232
BRN,Brunei Darussalam,ASEAN,2006,fdi_net_inflow_usd,USD,87839128.3133848
BRN,Brunei Darussalam,ASEAN,2006,gdp_constant_2015_usd,USD constant 2015,13940831854.3091
BRN,Brunei Darussalam,ASEAN,2006,gdp_current_usd,USD,12644616418.691
BRN,Brunei Darussalam,ASEAN,2006,gdp_per_capita_usd,USD,34674.7995236452
BRN,Brunei Darussalam,ASEAN,2006,population,persons,364663.0
BRN,Brunei Darussalam,ASEAN,2006,trade_pct_gdp,% of GDP,81.5709547429689
BRN,Brunei Darussalam,ASEAN,2007,fdi_net_inflow_usd,USD,257635717.488309
