Recipient ISO-3,Recipient,Commitment Year,Amount (Constant USD 2021),Amount_USD_M_2021
BRN,Brunei Darussalam,2005,0.0,0.0
BRN,Brunei Darussalam,2006,0.0,0.0
BRN,Brunei Darussalam,2007,0.0,0.0
BRN,Brunei Darussalam,2008,0.0,0.0
BRN,Brunei Darussalam,2010,0.0,0.0
BRN,Brunei Darussalam,2011,0.0,0.0
BRN,Brunei Darussalam,2012,0.0,0.0
BRN,Brunei Darussalam,2014,0.0,0.0
BRN,Brunei Darussalam,2015,218428494.1071511,218.4284941071511
BRN,Brunei Darussalam,2016,0.0,0.0
BRN,Brunei Darussalam,2017,9218.70525616779,0.00921870525616779
BRN,Brunei Darussalam,2018,1907237058.787681,1907.237058787681
BRN,Brunei Darussalam,2019,0.0,0.0
BRN,Brunei Darussalam,2020,255119.56203665858,0.2551195620366586
BRN,Brunei Darussalam,2021,18936000.0,18.936
IDN,Indonesia,2002,249945.490200365,0.249945490200365
IDN,Indonesia,2003,1580222323.9709258,1580.2223239709258
IDN,Indonesia,2004,369925525.7135982,369.9255257135982
IDN,Indonesia,2005,207436573.98915014,207.43657398915013
IDN,Indonesia,2006,3282901400.7005177,3282.9014007005176
IDN,Indonesia,2007,1105757010.3797824,1105.7570103797825
IDN,Indonesia,2008,2371547658.623347,2371.5476586233467
IDN,Indonesia,2009,6988205293.66516,6988.20529366516
IDN,Indonesia,2010,705879318.3000287,705.8793183000287
IDN,Indonesia,2011,1999863079.0442333,1999.8630790442332
IDN,Indonesia,2012,1812856488.96067,1812.85648896067
IDN,Indonesia,2013,4134573084.8200784,4134.573084820078
IDN,Indonesia,2014,1628448234.4604242,1628.4482344604241
IDN,Indonesia,2015,8687502900.831255,8687.502900831256
IDN,Indonesia,2016,5422791611.895029,5422.791611895029
IDN,Indonesia,2017,7623327124.555587,7623.327124555587
IDN,Indonesia,2018,2357878348.1378164,2357.8783481378164
IDN,Indonesia,2019,2111261713.3319032,2111.261713331903
IDN,Indonesia,2020,2034049480.0468748,2034.0494800468748
IDN,Indonesia,2021,762610789.0790658,762.6107890790659
KHM,Cambodia,2000,91777090.26860954,91.77709026860954
KHM,Cambodia,2001,28205127.639950946,28.205127639950945
KHM,Cambodia,2002,338925195.87015617,338.9251958701562
KHM,Cambodia,2003,14764407.97159817,14.764407971598171
KHM,Cambodia,2004,7041125.214140724,7.041125214140725
KHM,Cambodia,2005,82062748.92320292,82.06274892320292
KHM,Cambodia,2006,64972305.966859676,64.97230596685968
KHM,Cambodia,2007,835023218.2291211,835.0232182291211
KHM,Cambodia,2008,166073144.47790998,166.07314447790998
KHM,Cambodia,2009,776936447.4587222,776.9364474587222
KHM,Cambodia,2010,2942319015.783209,2942.3190157832087
KHM,Cambodia,2011,258924055.76469907,258.92405576469906
KHM,Cambodia,2012,1624920362.2715812,1624.920362271581
KHM,Cambodia,2013,1214098047.3855886,1214.0980473855886
KHM,Cambodia,2014,748567450.7585998,748.5674507585998
KHM,Cambodia,2015,544177651.1610305,544.1776511610306
KHM,Cambodia,2016,934659646.58862,934.6596465886199
KHM,Cambodia,2017,579451452.4884306,579.4514524884306
KHM,Cambodia,2018,1967414977.1417634,1967.4149771417635
KHM,Cambodia,2019,2270460260.136928,2270.460260136928
KHM,Cambodia,2020,1336760792.0176592,1336.7607920176592
KHM,Cambodia,2021,901459466.4,901.4594664
LAO,Lao People's Democratic Republic,2000,91829192.75657126,91.82919275657126
LAO,Lao People's Democratic Republic,2001,75436133.0223992,75.4361330223992
LAO,Lao People's Democratic Republic,2002,304254215.3827408,304.25421538274077
LAO,Lao People's Democratic Republic,2003,80829447.62872651,80.82944762872651
LAO,Lao People's Democratic Republic,2004,986577817.8006921,986.5778178006921
LAO,Lao People's Democratic Republic,2005,72087857.71989392,72.08785771989392
LAO,Lao People's Democratic Republic,2006,138844083.2166166,138.8440832166166
LAO,Lao People's Democratic Republic,2007,47031523.10183776,47.03152310183776
LAO,Lao People's Democratic Republic,2008,506426631.6309291,506.42663163092914
LAO,Lao People's Democratic Republic,2009,655864412.5257491,655.8644125257491
LAO,Lao People's Democratic Republic,2010,525969018.6820723,525.9690186820723
LAO,Lao People's Democratic Republic,2011,687409293.8959632,687.4092938959632
LAO,Lao People's Democratic Republic,2012,749123892.8822466,749.1238928822467
LAO,Lao People's Democratic Republic,2013,967877029.7738196,967.8770297738196
LAO,Lao People's Democratic Republic,2014,2635665667.066824,2635.665667066824
LAO,Lao People's Democratic Republic,2015,1564442717.9506788,1564.4427179506788
LAO,Lao People's Democratic Republic,2016,4589788738.444315,4589.788738444315
LAO,Lao People's Democratic Republic,2017,1150066697.1921256,1150.0666971921255
LAO,Lao People's Democratic Republic,2018,547480062.6091517,547.4800626091517
LAO,Lao People's Democratic Republic,2019,4350240720.652793,4350.240720652793
LAO,Lao People's Democratic Republic,2020,415153552.8069355,415.15355280693547
LAO,Lao People's Democratic Republic,2021,422073272.4708209,422.0732724708209
MMR,Myanmar,2000,909384831.1257732,909.3848311257732
