AidData Record ID,Recommended For Aggregates,Umbrella,Recipient,Recipient ISO-3,Commitment Year,Status,Flow Class,Sector Code,Sector Name,Funding Agencies,Amount (Constant USD 2021),Amount (Nominal USD),Adjusted Amount (Constant USD 2021)
90388,Yes,No,Brunei Darussalam,BRN,2021,Completion,OOF-like,120,HEALTH,Unspecified Chinese Government Institution,936000.0,936000.0,936000.0
96150,Yes,No,Brunei Darussalam,BRN,2021,Completion,OOF-like,120,HEALTH,Unspecified Chinese Government Institution,18000000.0,18000000.0,18000000.0
96171,Yes,No,Brunei Darussalam,BRN,2021,Completion,OOF-like,110,EDUCATION,Chinese Embassy,,,
96179,Yes,No,Brunei Darussalam,BRN,2021,Completion,OOF-like,110,EDUCATION,Chinese Embassy,,,
96180,Yes,No,Brunei Darussalam,BRN,2021,Completion,OOF-like,110,EDUCATION,Chinese Embassy,,,
96181,Yes,No,Brunei Darussalam,BRN,2021,Completion,OOF-like,110,EDUCATION,Chinese Embassy,,,
96183,Yes,No,Brunei Darussalam,BRN,2021,Completion,OOF-like,110,EDUCATION,Chinese Embassy,,,
96184,Yes,No,Brunei Darussalam,BRN,2021,Completion,OOF-like,110,EDUCATION,Chinese Embassy,,,
61127,Yes,No,Cambodia,KHM,2021,Implementation,OOF-like,210,TRANSPORT AND STORAGE,China Construction Bank Corporation (CCB)|China Development Bank (CDB)|Export-Import Bank of China (China Eximbank)|Industrial and Commercial Bank of China (ICBC),660000000.0,660000000.0,660000000.0
92546,Yes,No,Cambodia,KHM,2021,Implementation,OOF-like,230,ENERGY,Industrial and Commercial Bank of China (ICBC),,,
92547,Yes,No,Cambodia,KHM,2021,Implementation,OOF-like,230,ENERGY,Bank of China (BOC),,,
94938,Yes,No,Cambodia,KHM,2021,Completion,ODA-like,120,HEALTH,City of Beijing|City of Guangzhou|City of Wuhan|Fujian Provincial Government|Government of City of Shanghai|Government of the City of Kunming|Hefei Municipal Government|Nanning City Provincial Government,,,
94986,Yes,No,Cambodia,KHM,2021,Completion,ODA-like,320,"INDUSTRY, MINING, CONSTRUCTION",China Ministry of Foreign Affairs,1000000.0,1000000.0,1000000.0
95033,Yes,No,Cambodia,KHM,2021,Completion,ODA-like,120,HEALTH,Unspecified Chinese Government Institution,33566.4,33566.4,33566.4
95070,Yes,No,Cambodia,KHM,2021,Completion,ODA-like,120,HEALTH,Unspecified Chinese Government Institution,10800000.0,10800000.0,10800000.0
95156,Yes,No,Cambodia,KHM,2021,Completion,ODA-like,330,TRADE POLICIES AND REGULATIONS,The China-ASEAN Center,,,
95223,Yes,No,Cambodia,KHM,2021,Completion,ODA-like,120,HEALTH,Unspecified Chinese Government Institution,,,
95224,No,No,Cambodia,KHM,2021,Pipeline: Pledge,ODA-like,120,HEALTH,Chinese Embassy,3000000.0,3000000.0,3000000.0
95225,Yes,No,Cambodia,KHM,2021,Completion,ODA-like,120,HEALTH,Unspecified Chinese Government Institution,,,
95277,Yes,No,Cambodia,KHM,2021,Completion,ODA-like,120,HEALTH,Overseas Chinese Charity Foundation|Shanxin Lianxin,,,
95329,Yes,No,Cambodia,KHM,2021,Completion,ODA-like,120,HEALTH,Unspecified Chinese Government Institution,260400.0,260400.0,260400.0
95581,Yes,No,Cambodia,KHM,2021,Completion,ODA-like,120,HEALTH,Yunnan Provincial Government,,,
