t,i,j,trade_usd_thousands,qty_tons
2010,56,96,8749.653000000006,3137.4710000000014
2010,56,104,6796.023000000001,9865.198000000002
2010,56,116,40135.545,11250.993000000008
2010,56,360,576264.5259999993,399852.92699999985
2010,56,418,19391.614999999998,4756.383000000003
2010,56,458,644798.2610000002,484105.40199999977
2010,56,608,176708.713,72060.81599999985
2010,56,702,945015.6160000005,301098.017
2010,56,704,365491.17400000023,160209.2769999998
2010,56,764,779720.0649999983,261206.93999999977
2010,96,56,155.375,1.654
2010,96,156,643387.0720000002,1135849.7749999994
2010,96,251,1734.7200000000003,136.196
2010,96,276,2399.5480000000007,17.89200000000001
2010,96,380,536.955,23.164999999999996
2010,96,392,3767381.470000003,6576731.576
2010,96,410,1431857.0349999995,2544007.938
2010,96,528,1452.3080000000004,39.11500000000001
2010,96,616,9.054,1.0130000000000001
2010,96,724,405.154,8.851999999999999
2010,96,752,5.317,0.07400000000000001
2010,96,826,29027.740000000013,269.88599999999974
2010,96,842,18404.567000000003,17390.52200000005
2010,104,56,3224.17,1840.6329999999996
2010,104,156,990237.7069999997,4945389.889999995
2010,104,251,6051.877999999996,917.6790000000005
2010,104,276,79044.547,5150.646000000002
2010,104,380,9183.499999999998,1483.119
2010,104,392,408347.11499999993,63777.411
2010,104,410,173389.75999999998,39309.583
2010,104,528,10230.987999999992,2031.7949999999996
2010,104,616,4540.0960000000005,425.74899999999985
2010,104,724,50097.494000000006,3003.933999999999
2010,104,752,845.8890000000002,259.204
2010,104,826,70199.35099999998,12802.705000000009
2010,104,842,1692.53,270.24299999999994
2010,116,56,59263.02099999999,4231.276000000001
2010,116,156,142358.80599999998,176851.3089999997
2010,116,251,169773.22600000026,33623.794999999955
2010,116,276,554084.3989999999,31406.66200000002
2010,116,380,115341.634,6533.712999999998
2010,116,392,245406.60200000004,13941.171000000006
2010,116,410,50216.28099999999,17018.24100000001
2010,116,528,263168.302,19984.232
2010,116,616,87670.96299999999,6006.989000000003
2010,116,724,152636.83499999993,8570.979000000001
2010,116,752,32081.399999999998,2246.502
2010,116,826,634054.0959999999,45324.294
2010,116,842,3059701.1319999984,192041.9560000002
2010,156,96,240148.18600000074,628764.3520000036
2010,156,104,3073617.3070000084,1638362.0240000032
2010,156,116,1496286.527000001,525795.4790000003
2010,156,360,20977803.804000087,10429794.337999966
2010,156,418,475700.47199999844,128581.29999999992
2010,156,458,22153914.06799995,7479849.967999998
2010,156,608,11539128.808999995,6758729.6079999935
2010,156,702,31238276.230000008,6585788.077999995
2010,156,704,21228759.36800003,10702045.063999988
2010,156,764,25109762.58599997,7990976.347000004
2010,251,96,13769.273000000001,3023.5460000000003
2010,251,104,30151.38600000002,3940.526999999999
2010,251,116,74322.16199999994,17266.973999999984
2010,251,360,1504978.6200000027,342848.5680000005
2010,251,418,55782.93000000001,1127.4530000000002
2010,251,458,2194056.0469999993,352606.53899999964
2010,251,608,873351.0460000009,95607.70500000025
2010,251,702,7106897.670000011,433187.86199999845
2010,251,704,1118930.1789999965,176798.4530000008
2010,251,764,1502186.3449999974,315693.73899999744
2010,276,96,77038.76299999999,3759.0070000000005
2010,276,104,30183.489999999998,2133.0399999999995
2010,276,116,44495.40200000002,10020.380000000005
2010,276,360,2892441.209999995,752792.3879999998
2010,276,418,22513.677999999993,2338.9880000000007
2010,276,458,6530117.539999999,1420736.5610000046
2010,276,608,1434135.6580000028,202902.58099999957
2010,276,702,8294480.267999994,656300.2719999977
2010,276,704,2133703.7669999995,330057.60399999976
2010,276,764,4279349.102000012,765597.2890000014
2010,360,56,971664.5459999997,335048.4449999992
2010,360,156,20188754.365000006,133282466.55999988
2010,360,251,2075307.402999999,421200.423
2010,360,276,4873515.924000002,1603823.8359999931
2010,360,380,2787308.154999994,8455948.36300001
2010,360,392,29310262.146000028,61656306.04200009
2010,360,410,13724295.20099998,55389750.35600014
2010,360,528,3280486.569999985,5488405.427000009
2010,360,616,695268.8679999989,795057.9200000032
2010,360,724,2560371.7550000045,3400744.270000008
2010,360,752,193691.50499999968,44314.63699999989
2010,360,826,2396956.428999996,1234378.858999999
2010,360,842,17829318.533999998,6471478.279000004
2010,380,96,21803.797000000013,1943.8819999999982
2010,380,104,24472.557999999994,2395.2109999999984
2010,380,116,25716.500999999997,1815.4309999999996
2010,380,360,959746.8090000007,428706.19199999934
2010,380,418,16809.258,3431.9009999999985
2010,380,458,1433137.695000001,205010.31400000033
2010,380,608,337469.7009999999,150222.379
2010,380,702,2597822.355000001,387194.46500000084
2010,380,704,952233.127999999,375636.8700000002
2010,380,764,1503211.2869999981,289006.42299999954
2010,392,96,252696.93999999983,297106.9089999994
2010,392,104,374292.5350000002,54269.759999999966
2010,392,116,226855.707,48623.122999999985
2010,392,360,15284282.824999996,3968995.8660000023
2010,392,418,75993.95699999997,9525.745
2010,392,458,20097673.048000008,4710475.784999992
2010,392,608,10552387.336999994,3561180.2020000014
2010,392,702,24243688.930999972,10150566.832000038
2010,392,704,9255285.870999997,3688495.8079999955
2010,392,764,36266946.13900006,9281559.925999982
2010,410,96,87829.76600000003,55152.50299999978
2010,410,104,631674.9160000009,421274.414999999
2010,410,116,382996.07499999995,135742.1919999997
2010,410,360,7964956.666999988,5588070.026000021
2010,410,418,100616.82900000003,28447.08700000001
2010,410,458,8942265.354999999,2976952.105000002
2010,410,608,5834980.435999983,2266982.1749999933
2010,410,702,16860347.703999996,6863253.59200001
2010,410,704,10509809.002000028,4920403.268999985
2010,410,764,7884021.556000001,3315355.7210000027
2010,418,56,10782.981000000002,2009.8469999999995
2010,418,156,703719.5099999999,819707.6440000001
2010,418,251,29742.036000000007,2115.257999999999
2010,418,276,70744.23800000001,7145.17
2010,418,380,17938.544000000005,3070.870999999999
2010,418,392,45922.35200000001,8707.552000000007
2010,418,410,20269.434999999994,12581.189000000004
2010,418,528,16717.749000000003,1296.561999999999
2010,418,616,9553.781999999996,5074.5710000000045
2010,418,724,8269.083999999999,967.9570000000001
2010,418,752,1552.6389999999997,230.53499999999997
2010,418,826,95809.68000000001,45789.22100000001
2010,418,842,69675.98399999998,11475.968
2010,458,56,516245.66899999947,257333.57499999972
2010,458,156,44555251.412,20531717.274999965
2010,458,251,2589451.3489999967,439273.60900000035
2010,458,276,7720784.244000004,1038482.896000004
2010,458,380,1131370.9760000014,378762.63699999906
2010,458,392,22203832.335000012,20063858.190999985
2010,458,410,9423006.229000011,11049421.306000005
2010,458,528,6193091.715999998,2461136.468000003
2010,458,616,731871.2370000005,143047.45299999978
2010,458,724,823638.7499999997,316652.91699999885
2010,458,752,569374.4409999995,273897.2500000002
2010,458,826,3251590.478999999,865443.1700000007
2010,458,842,25674252.43899999,3481453.390999996
2010,528,96,25161.512000000002,9644.106000000022
2010,528,104,5219.142999999998,1998.702
2010,528,116,9791.378,6260.911000000008
2010,528,360,721907.9179999995,435848.066999999
2010,528,418,1757.4600000000003,128.10100000000003
2010,528,458,1091193.1430000025,700498.3240000022
2010,528,608,376037.8839999995,142683.64299999972
2010,528,702,4982350.430999991,6155692.848000004
2010,528,704,606605.9729999995,305786.3480000003
2010,528,764,1072709.4739999992,419139.35799999995
2010,608,56,128341.86699999997,19791.024000000085
2010,608,156,16219634.190000001,18761716.631999925
2010,608,251,690777.3109999999,56692.70500000001
2010,608,276,3027643.984,382221.0800000003
2010,608,380,430773.26500000025,74175.94200000008
2010,608,392,7505950.8379999995,4088702.8370000063
2010,608,410,3488103.392000002,2130131.274000001
2010,608,528,1028230.607,436573.00599999947
2010,608,616,151683.50200000007,11451.565000000013
2010,608,724,235533.06799999997,165759.2499999998
2010,608,752,142983.63399999987,9849.491999999995
2010,608,826,763554.5360000009,79085.08700000004
2010,608,842,8050457.188999995,1242434.4950000006
2010,616,96,318.39399999999995,20.588000000000008
2010,616,104,1710.902,630.4159999999999
2010,616,116,8669.850999999999,5046.720999999999
2010,616,360,58003.988000000034,17315.99200000002
2010,616,418,59.381,23.746
2010,616,458,153518.01000000018,60488.66799999988
2010,616,608,18295.194000000007,11145.133
2010,616,702,443793.8900000001,234677.76499999987
2010,616,704,146155.54499999995,105434.41699999991
2010,616,764,174699.43500000032,77090.07300000013
2010,702,56,771137.3999999997,62187.2779999998
2010,702,156,25446713.547999933,11510714.226000015
2010,702,251,4184840.1200000145,798488.959999996
2010,702,276,7024213.421999989,138662.99500000014
2010,702,380,372159.2939999999,108118.54299999987
2010,702,392,10625136.348999983,1535095.5599999975
2010,702,410,7943589.149000006,1586363.668
2010,702,528,4332191.888000004,294808.1009999991
2010,702,616,720221.5109999996,50957.12199999996
2010,702,724,563564.7099999997,95785.23800000006
2010,702,752,154971.07899999977,9035.859000000013
2010,702,826,4956726.160999998,602620.0460000047
2010,702,842,16714988.641000023,629633.9780000008
2010,704,56,545182.2540000008,236146.2709999996
2010,704,156,7210405.63999999,27388161.844
2010,704,251,1941038.7359999996,339244.20400000055
2010,704,276,3881538.039000001,683834.5230000006
2010,704,380,1228300.1909999987,263503.3959999996
2010,704,392,8500554.781000001,4794182.915999995
2010,704,410,3293874.0840000003,4973448.627999999
2010,704,528,1426798.3299999966,277454.7700000002
2010,704,616,518648.04800000077,124655.78299999997
2010,704,724,1428232.659999998,256548.6799999995
2010,704,752,300717.7759999994,49300.54100000002
2010,704,826,2211147.5250000027,344523.36900000024
2010,704,842,16241838.705999985,2699550.540999997
2010,724,96,2581.849999999999,1627.7710000000004
2010,724,104,11400.411,1871.7119999999998
2010,724,116,8007.929000000001,6770.249999999999
2010,724,360,358674.4160000006,129449.44199999988
2010,724,418,611.8549999999998,115.71700000000003
2010,724,458,366917.1419999998,126122.63800000004
2010,724,608,217547.77700000015,91309.4100000001
2010,724,702,1027125.8740000001,275745.12199999945
