country,year,metric,value,file
Indonesia,2010,Position,10558,2009-2019
Indonesia,2011,Position,12046,2009-2019
Indonesia,2012,Position,11441,2009-2019
Indonesia,2013,Position,12117,2009-2019
Indonesia,2014,Position,15674,2009-2019
Indonesia,2015,Position,15717,2009-2019
Indonesia,2016,Position,15049,2009-2019
Indonesia,2017,Position,13866,2009-2019
Indonesia,2018,Position,19886,2009-2019
Indonesia,2019,Position,19918,2009-2019
Malaysia,2010,Position,11791,2009-2019
Malaysia,2011,Position,11627,2009-2019
Malaysia,2012,Position,10898,2009-2019
Malaysia,2013,Position,13360,2009-2019
Malaysia,2014,Position,14642,2009-2019
Malaysia,2015,Position,15765,2009-2019
Malaysia,2016,Position,10069,2009-2019
Malaysia,2017,Position,11767,2009-2019
Malaysia,2018,Position,10385,2009-2019
Malaysia,2019,Position,12673,2009-2019
Philippines,2010,Position,5399,2009-2019
Philippines,2011,Position,4897,2009-2019
Philippines,2012,Position,3988,2009-2019
Philippines,2013,Position,4091,2009-2019
Philippines,2014,Position,4073,2009-2019
Philippines,2015,Position,5992,2009-2019
Philippines,2016,Position,6412,2009-2019
Philippines,2017,Position,6926,2009-2019
Philippines,2018,Position,5562,2009-2019
Philippines,2019,Position,6378,2009-2019
Singapore,2010,Position,102778,2009-2019
Singapore,2011,Position,119395,2009-2019
Singapore,2012,Position,145236,2009-2019
Singapore,2013,Position,182079,2009-2019
Singapore,2014,Position,229189,2009-2019
Singapore,2015,Position,253277,2009-2019
Singapore,2016,Position,243165,2009-2019
Singapore,2017,Position,293452,2009-2019
Singapore,2018,Position,232940,2009-2019
Singapore,2019,Position,251384,2009-2019
Thailand,2010,Position,12999,2009-2019
Thailand,2011,Position,11840,2009-2019
Thailand,2012,Position,10773,2009-2019
Thailand,2013,Position,9957,2009-2019
Thailand,2014,Position,18143,2009-2019
Thailand,2015,Position,17942,2009-2019
Thailand,2016,Position,18386,2009-2019
Thailand,2017,Position,15578,2009-2019
Thailand,2018,Position,16415,2009-2019
Thailand,2019,Position,17134,2009-2019
Brunei,2010,Position,103,2009-2019
Brunei,2011,Position,99,2009-2019
Brunei,2012,Position,116,2009-2019
Brunei,2013,Position,31,2009-2019
Brunei,2014,Position,11,2009-2019
Brunei,2015,Position,10,2009-2019
Brunei,2016,Position,16,2009-2019
Brunei,2017,Position,19,2009-2019
Brunei,2018,Position,15,2009-2019
Brunei,2019,Position,10,2009-2019
Burma,2010,Position,(*),2009-2019
Burma,2011,Position,1,2009-2019
Burma,2012,Position,1,2009-2019
Burma,2013,Position,1,2009-2019
Burma,2014,Position,(*),2009-2019
Burma,2015,Position,1,2009-2019
Burma,2016,Position,1,2009-2019
Burma,2017,Position,-4,2009-2019
Burma,2018,Position,(D),2009-2019
Burma,2019,Position,1,2009-2019
Cambodia,2010,Position,30,2009-2019
Cambodia,2011,Position,37,2009-2019
Cambodia,2012,Position,54,2009-2019
Cambodia,2013,Position,(D),2009-2019
Cambodia,2014,Position,105,2009-2019
Cambodia,2015,Position,120,2009-2019
Cambodia,2016,Position,158,2009-2019
Cambodia,2017,Position,174,2009-2019
Cambodia,2018,Position,202,2009-2019
Cambodia,2019,Position,(D),2009-2019
Laos,2010,Position,0,2009-2019
Laos,2011,Position,0,2009-2019
Laos,2012,Position,0,2009-2019
Laos,2013,Position,0,2009-2019
Laos,2014,Position,(*),2009-2019
Laos,2015,Position,(*),2009-2019
Laos,2016,Position,(*),2009-2019
Laos,2017,Position,(*),2009-2019
Laos,2018,Position,(*),2009-2019
Laos,2019,Position,(D),2009-2019
Vietnam,2010,Position,799,2009-2019
Vietnam,2011,Position,964,2009-2019
Vietnam,2012,Position,1143,2009-2019
Vietnam,2013,Position,1348,2009-2019
Vietnam,2014,Position,1746,2009-2019
