STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,MEASURE,Measure,UNIT_MEASURE,Unit of measure,MEASURE_PRINCIPLE,Measurement principle,ACCOUNTING_ENTRY,Accounting entry,TYPE_ENTITY,Entity type,FDI_COMP,FDI component,SECTOR,Institutional sector,COUNTERPART_AREA,Counterpart area,LEVEL_COUNTERPART,Counterpart level,ACTIVITY,Economic activity,FREQ,Frequency of observation,FDI_COLLECTION_ID,FDI data collection identifier,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,CONF_STATUS,Confidentiality status,CURRENCY,Currency,DECIMALS,Decimals
DATAFLOW,OECD.DAF.INV:DSD_FDI@DF_FDI_POS_CTRY(1.0),"FDI positions by counterpart area, BMD4",I,GBR,United Kingdom,LE_FA_F,FDI positions - total,USD_EXC,"US dollars, exchange rate converted",DO,Directional principle: outward,NET_FDI,Net FDI,ROU,Resident operating units (non-SPEs),D,Total direct investment,S1,Total economy,LAO,Lao People’s Democratic Republic,IMC,Immediate counterpart,_T,Total - all activities,A,Annual,CTRY_IND,Annual FDI by counterpart area and by economic activity - BMD4,2018,,,,A,Normal value,6,Millions,F,Free (free for publication),USD,US dollar,2,Two
DATAFLOW,OECD.DAF.INV:DSD_FDI@DF_FDI_POS_CTRY(1.0),"FDI positions by counterpart area, BMD4",I,GBR,United Kingdom,LE_FA_F,FDI positions - total,USD_EXC,"US dollars, exchange rate converted",DO,Directional principle: outward,NET_FDI,Net FDI,ROU,Resident operating units (non-SPEs),D,Total direct investment,S1,Total economy,KHM,Cambodia,IMC,Immediate counterpart,_T,Total - all activities,A,Annual,CTRY_IND,Annual FDI by counterpart area and by economic activity - BMD4,2018,,,,A,Normal value,6,Millions,F,Free (free for publication),USD,US dollar,2,Two
DATAFLOW,OECD.DAF.INV:DSD_FDI@DF_FDI_POS_CTRY(1.0),"FDI positions by counterpart area, BMD4",I,GBR,United Kingdom,LE_FA_F,FDI positions - total,USD_EXC,"US dollars, exchange rate converted",DO,Directional principle: outward,NET_FDI,Net FDI,ROU,Resident operating units (non-SPEs),D,Total direct investment,S1,Total economy,VNM,Viet Nam,IMC,Immediate counterpart,_T,Total - all activities,A,Annual,CTRY_IND,Annual FDI by counterpart area and by economic activity - BMD4,2018,,,,A,Normal value,6,Millions,F,Free (free for publication),USD,US dollar,2,Two
DATAFLOW,OECD.DAF.INV:DSD_FDI@DF_FDI_POS_CTRY(1.0),"FDI positions by counterpart area, BMD4",I,GBR,United Kingdom,LE_FA_F,FDI positions - total,USD_EXC,"US dollars, exchange rate converted",DO,Directional principle: outward,NET_FDI,Net FDI,ROU,Resident operating units (non-SPEs),D,Total direct investment,S1,Total economy,MMR,Myanmar,IMC,Immediate counterpart,_T,Total - all activities,A,Annual,CTRY_IND,Annual FDI by counterpart area and by economic activity - BMD4,2018,,,,A,Normal value,6,Millions,F,Free (free for publication),USD,US dollar,2,Two
DATAFLOW,OECD.DAF.INV:DSD_FDI@DF_FDI_POS_CTRY(1.0),"FDI positions by counterpart area, BMD4",I,GBR,United Kingdom,LE_FA_F,FDI positions - total,USD_EXC,"US dollars, exchange rate converted",DO,Directional principle: outward,NET_FDI,Net FDI,ROU,Resident operating units (non-SPEs),D,Total direct investment,S1,Total economy,BRN,Brunei Darussalam,IMC,Immediate counterpart,_T,Total - all activities,A,Annual,CTRY_IND,Annual FDI by counterpart area and by economic activity - BMD4,2018,,,,A,Normal value,6,Millions,F,Free (free for publication),USD,US dollar,2,Two
DATAFLOW,OECD.DAF.INV:DSD_FDI@DF_FDI_POS_CTRY(1.0),"FDI positions by counterpart area, BMD4",I,GBR,United Kingdom,LE_FA_F,FDI positions - total,USD_EXC,"US dollars, exchange rate converted",DO,Directional principle: outward,NET_FDI,Net FDI,ROU,Resident operating units (non-SPEs),D,Total direct investment,S1,Total economy,BRN,Brunei Darussalam,IMC,Immediate counterpart,_T,Total - all activities,A,Annual,CTRY_IND,Annual FDI by counterpart area and by economic activity - BMD4,2015,,,,A,Normal value,6,Millions,F,Free (free for publication),USD,US dollar,2,Two
DATAFLOW,OECD.DAF.INV:DSD_FDI@DF_FDI_POS_CTRY(1.0),"FDI positions by counterpart area, BMD4",I,GBR,United Kingdom,LE_FA_F,FDI positions - total,USD_EXC,"US dollars, exchange rate converted",DO,Directional principle: outward,NET_FDI,Net FDI,ROU,Resident operating units (non-SPEs),D,Total direct investment,S1,Total economy,MMR,Myanmar,IMC,Immediate counterpart,_T,Total - all activities,A,Annual,CTRY_IND,Annual FDI by counterpart area and by economic activity - BMD4,2015,,,,A,Normal value,6,Millions,F,Free (free for publication),USD,US dollar,2,Two
DATAFLOW,OECD.DAF.INV:DSD_FDI@DF_FDI_POS_CTRY(1.0),"FDI positions by counterpart area, BMD4",I,GBR,United Kingdom,LE_FA_F,FDI positions - total,USD_EXC,"US dollars, exchange rate converted",DO,Directional principle: outward,NET_FDI,Net FDI,ROU,Resident operating units (non-SPEs),D,Total direct investment,S1,Total economy,VNM,Viet Nam,IMC,Immediate counterpart,_T,Total - all activities,A,Annual,CTRY_IND,Annual FDI by counterpart area and by economic activity - BMD4,2015,,,,A,Normal value,6,Millions,F,Free (free for publication),USD,US dollar,2,Two
DATAFLOW,OECD.DAF.INV:DSD_FDI@DF_FDI_POS_CTRY(1.0),"FDI positions by counterpart area, BMD4",I,GBR,United Kingdom,LE_FA_F,FDI positions - total,USD_EXC,"US dollars, exchange rate converted",DO,Directional principle: outward,NET_FDI,Net FDI,ROU,Resident operating units (non-SPEs),D,Total direct investment,S1,Total economy,KHM,Cambodia,IMC,Immediate counterpart,_T,Total - all activities,A,Annual,CTRY_IND,Annual FDI by counterpart area and by economic activity - BMD4,2015,,,,A,Normal value,6,Millions,F,Free (free for publication),USD,US dollar,2,Two
DATAFLOW,OECD.DAF.INV:DSD_FDI@DF_FDI_POS_CTRY(1.0),"FDI positions by counterpart area, BMD4",I,GBR,United Kingdom,LE_FA_F,FDI positions - total,USD_EXC,"US dollars, exchange rate converted",DO,Directional principle: outward,NET_FDI,Net FDI,ROU,Resident operating units (non-SPEs),D,Total direct investment,S1,Total economy,LAO,Lao People’s Democratic Republic,IMC,Immediate counterpart,_T,Total - all activities,A,Annual,CTRY_IND,Annual FDI by counterpart area and by economic activity - BMD4,2015,,,,A,Normal value,6,Millions,F,Free (free for publication),USD,US dollar,2,Two
