Entity,Year,Global mine production of different minerals
Antimony,1900,7710
Antimony,1901,7890
Antimony,1902,8550
Antimony,1903,8140
Antimony,1904,8000
Antimony,1905,8000
Antimony,1906,14500
Antimony,1907,15000
Antimony,1908,16000
Antimony,1909,15000
Antimony,1910,15000
Antimony,1911,15500
Antimony,1912,24200
Antimony,1913,24500
Antimony,1914,23600
Antimony,1915,43200
Antimony,1916,81600
Antimony,1917,57200
Antimony,1918,30800
Antimony,1919,11800
Antimony,1920,29000
Antimony,1921,18300
Antimony,1922,18900
Antimony,1923,17600
Antimony,1924,17500
Antimony,1925,25500
Antimony,1926,29000
Antimony,1927,28000
Antimony,1928,28500
Antimony,1929,31600
Antimony,1930,23600
Antimony,1931,15600
Antimony,1932,17300
Antimony,1933,20200
Antimony,1934,22600
Antimony,1935,29800
Antimony,1936,35300
Antimony,1937,38600
Antimony,1938,33900
Antimony,1939,38800
Antimony,1940,46300
Antimony,1941,49000
Antimony,1942,51400
Antimony,1943,53200
Antimony,1944,36000
Antimony,1945,27000
Antimony,1946,26000
Antimony,1947,38000
Antimony,1948,45000
Antimony,1949,37000
Antimony,1950,50000
Antimony,1951,65000
Antimony,1952,44500
Antimony,1953,33600
Antimony,1954,39900
Antimony,1955,46300
Antimony,1956,53500
Antimony,1957,50800
Antimony,1958,46300
Antimony,1959,53300
Antimony,1960,53300
Antimony,1961,51900
Antimony,1962,53700
Antimony,1963,58000
Antimony,1964,63000
Antimony,1965,63000
Antimony,1966,61400
Antimony,1967,58400
Antimony,1968,61500
Antimony,1969,66200
Antimony,1970,70000
Antimony,1971,64100
Antimony,1972,68100
Antimony,1973,69300
Antimony,1974,70500
Antimony,1975,67900
Antimony,1976,69200
Antimony,1977,72200
Antimony,1978,68800
Antimony,1979,71900
Antimony,1980,67200
Antimony,1981,59200
Antimony,1982,53800
Antimony,1983,48400
Antimony,1984,53400
Antimony,1985,55000
Antimony,1986,59900
Antimony,1987,56100
Antimony,1988,64400
Antimony,1989,68400
Antimony,1990,60400
Antimony,1991,64700
Antimony,1992,76000
Antimony,1993,73000
Antimony,1994,106000
Antimony,1995,103000
Antimony,1996,156000
Antimony,1997,155000
Antimony,1998,117000
Antimony,1999,108000
Antimony,2000,118000
Antimony,2001,157000
Antimony,2002,118000
Antimony,2003,116000
Antimony,2004,142000
Antimony,2005,172000
Antimony,2006,173000
Antimony,2007,180000
Antimony,2008,185000
Antimony,2009,158000
Antimony,2010,182000
Antimony,2011,187000
Antimony,2012,181000
Antimony,2013,193000
Antimony,2014,175000
Antimony,2015,150000
Antimony,2016,148000
Antimony,2017,144000
Antimony,2018,147000
Antimony,2019,162000
Antimony,2020,111000
Antimony,2021,112000
Antimony,2022,83100
Antimony,2023,106000
Antimony,2024,100000
Asbestos,1900,31500
Asbestos,1901,41800
Asbestos,1902,42100
Asbestos,1903,44200
Asbestos,1904,53300
Asbestos,1905,72500
Asbestos,1906,85800
Asbestos,1907,93700
Asbestos,1908,96800
Asbestos,1909,97200
Asbestos,1910,109000
Asbestos,1911,140000
Asbestos,1912,148000
Asbestos,1913,144000
Asbestos,1914,106000
Asbestos,1915,117000
Asbestos,1916,145000
Asbestos,1917,141000
Asbestos,1918,144000
Asbestos,1919,140000
Asbestos,1920,193000
Asbestos,1921,91100
Asbestos,1922,136000
Asbestos,1923,201000
Asbestos,1924,198000
Asbestos,1925,312000
Asbestos,1926,329000
Asbestos,1927,342000
Asbestos,1928,354000
Asbestos,1929,400000
Asbestos,1930,338000
Asbestos,1931,259000
Asbestos,1932,205000
Asbestos,1933,274000
Asbestos,1934,299000
Asbestos,1935,372000
Asbestos,1936,507000
Asbestos,1937,613000
Asbestos,1938,455000
Asbestos,1939,563000
Asbestos,1940,574000
Asbestos,1941,677000
Asbestos,1942,657000
Asbestos,1943,733000
Asbestos,1944,712000
Asbestos,1945,752000
Asbestos,1946,890000
Asbestos,1947,1060000
Asbestos,1948,1210000
Asbestos,1949,975000
Asbestos,1950,1290000
Asbestos,1951,1420000
Asbestos,1952,1420000
Asbestos,1953,1420000
Asbestos,1954,1520000
Asbestos,1955,1770000
Asbestos,1956,1810000
Asbestos,1957,1890000
Asbestos,1958,1860000
Asbestos,1959,2050000
Asbestos,1960,2210000
Asbestos,1961,2510000
Asbestos,1962,2410000
Asbestos,1963,2510000
Asbestos,1964,2770000
Asbestos,1965,2810000
Asbestos,1966,2970000
Asbestos,1967,2910000
Asbestos,1968,3010000
Asbestos,1969,3270000
Asbestos,1970,3490000
Asbestos,1971,3580000
Asbestos,1972,3780000
Asbestos,1973,4190000
Asbestos,1974,4160000
Asbestos,1975,4140000
Asbestos,1976,4770000
Asbestos,1977,4790000
Asbestos,1978,4690000
Asbestos,1979,4760000
Asbestos,1980,4700000
Asbestos,1981,4350000
Asbestos,1982,4560000
Asbestos,1983,4430000
Asbestos,1984,4310000
Asbestos,1985,4250000
Asbestos,1986,4030000
Asbestos,1987,4240000
Asbestos,1988,4310000
Asbestos,1989,4290000
Asbestos,1990,4010000
Asbestos,1991,3490000
Asbestos,1992,3270000
Asbestos,1993,2780000
Asbestos,1994,2250000
Asbestos,1995,2180000
Asbestos,1996,2100000
Asbestos,1997,2150000
Asbestos,1998,1980000
Asbestos,1999,1940000
Asbestos,2000,2110000
Asbestos,2001,2080000
Asbestos,2002,2320000
Asbestos,2003,2400000
Asbestos,2004,2340000
Asbestos,2005,2210000
Asbestos,2006,2150000
Asbestos,2007,2250000
Asbestos,2008,2090000
Asbestos,2009,2110000
Asbestos,2010,2010000
Asbestos,2011,2000000
Asbestos,2012,1900000
Asbestos,2013,1650000
Asbestos,2014,1520000
Asbestos,2015,1290000
Asbestos,2016,1250000
Asbestos,2017,1160000
Asbestos,2018,1180000
Asbestos,2019,1160000
Asbestos,2020,1100000
Asbestos,2021,1240000
Asbestos,2022,1330000
Asbestos,2023,1240000
Asbestos,2024,1200000
Barite,1913,212000
Barite,1919,359000
Barite,1920,453000
Barite,1921,242000
Barite,1922,414000
Barite,1923,445000
Barite,1924,487000
Barite,1925,536000
Barite,1926,527000
Barite,1927,536000
Barite,1928,635000
Barite,1929,677000
Barite,1930,592000
Barite,1931,468000
Barite,1932,368000
Barite,1933,439000
Barite,1934,770000
Barite,1935,726000
Barite,1936,854000
Barite,1937,992000
Barite,1938,975000
Barite,1939,961000
Barite,1940,959000
Barite,1941,1030000
Barite,1942,1000000
Barite,1943,1010000
Barite,1944,1120000
Barite,1945,964000
Barite,1946,1110000
Barite,1947,1360000
Barite,1948,1210000
Barite,1949,1340000
Barite,1950,1450000
Barite,1951,1670000
Barite,1952,1780000
Barite,1953,1960000
Barite,1954,2080000
Barite,1955,2420000
Barite,1956,2700000
Barite,1957,3340000
Barite,1958,2480000
Barite,1959,2700000
Barite,1960,2710000
Barite,1961,2820000
Barite,1962,3080000
Barite,1963,2880000
Barite,1964,3170000
Barite,1965,3540000
Barite,1966,3690000
Barite,1967,3570000
Barite,1968,3420000
Barite,1969,3850000
Barite,1970,3940000
Barite,1971,3730000
Barite,1972,3960000
Barite,1973,4750000
Barite,1974,4870000
Barite,1975,5010000
Barite,1976,5360000
Barite,1977,5960000
Barite,1978,7000000
Barite,1979,7170000
Barite,1980,7600000
