country_iso3,country,indicator,indicator_name,year,value
BRN,Brunei Darussalam,NY.GDP.MKTP.CD,GDP (current US$),2024,15340808592.48
BRN,Brunei Darussalam,NY.GDP.MKTP.CD,GDP (current US$),2023,15095084656.1634
BRN,Brunei Darussalam,NY.GDP.MKTP.CD,GDP (current US$),2022,16681536466.7183
BRN,Brunei Darussalam,NY.GDP.MKTP.CD,GDP (current US$),2021,14006496617.4458
BRN,Brunei Darussalam,NY.GDP.MKTP.CD,GDP (current US$),2020,12005799653.9835
BRN,Brunei Darussalam,NY.GDP.MKTP.CD,GDP (current US$),2019,13469235364.7032
BRN,Brunei Darussalam,NY.GDP.MKTP.CD,GDP (current US$),2018,13566908391.0895
BRN,Brunei Darussalam,NY.GDP.MKTP.CD,GDP (current US$),2017,12128168045.1245
BRN,Brunei Darussalam,NY.GDP.MKTP.CD,GDP (current US$),2016,11400266044.6651
BRN,Brunei Darussalam,NY.GDP.MKTP.CD,GDP (current US$),2015,12930296870.1247
BRN,Brunei Darussalam,NY.GDP.MKTP.CD,GDP (current US$),2014,17097797386.0336
BRN,Brunei Darussalam,NY.GDP.MKTP.CD,GDP (current US$),2013,18094148098.6536
BRN,Brunei Darussalam,NY.GDP.MKTP.CD,GDP (current US$),2012,19048443340.7732
BRN,Brunei Darussalam,NY.GDP.MKTP.CD,GDP (current US$),2011,18524791062.657
BRN,Brunei Darussalam,NY.GDP.MKTP.CD,GDP (current US$),2010,13707121038.4383
BRN,Brunei Darussalam,NY.GDP.MKTP.CD,GDP (current US$),2009,11912904509.8582
BRN,Brunei Darussalam,NY.GDP.MKTP.CD,GDP (current US$),2008,15926456515.0049
BRN,Brunei Darussalam,NY.GDP.MKTP.CD,GDP (current US$),2007,13432029484.4012
BRN,Brunei Darussalam,NY.GDP.MKTP.CD,GDP (current US$),2006,12644616418.691
BRN,Brunei Darussalam,NY.GDP.MKTP.CD,GDP (current US$),2005,10547202620.5286
BRN,Brunei Darussalam,NY.GDP.MKTP.CD,GDP (current US$),2004,8619178773.51458
BRN,Brunei Darussalam,NY.GDP.MKTP.CD,GDP (current US$),2003,7167725261.92713
BRN,Brunei Darussalam,NY.GDP.MKTP.CD,GDP (current US$),2002,6333082875.56937
BRN,Brunei Darussalam,NY.GDP.MKTP.CD,GDP (current US$),2001,6096155767.38145
BRN,Brunei Darussalam,NY.GDP.MKTP.CD,GDP (current US$),2000,6570999087.56742
CHN,China,NY.GDP.MKTP.CD,GDP (current US$),2024,18743803170827.2
