country_iso3,country_name,country_group,year,metric,unit,value
AUS,Australia,PARTNER,2000,milex_constant_2024_usd_millions,"USD millions, constant 2024",16063.272859872173
AUS,Australia,PARTNER,2000,milex_current_usd_millions,"USD millions, current",7273.760312610518
AUS,Australia,PARTNER,2000,milex_per_capita_usd,USD per capita,382.49271536711274
AUS,Australia,PARTNER,2000,milex_share_of_gdp_pct,% of GDP,1.820957998658883
AUS,Australia,PARTNER,2000,milex_share_of_govt_pct,% of govt spending,5.182884006841109
AUS,Australia,PARTNER,2001,milex_constant_2024_usd_millions,"USD millions, constant 2024",16699.21119348951
AUS,Australia,PARTNER,2001,milex_current_usd_millions,"USD millions, current",7043.145895398874
AUS,Australia,PARTNER,2001,milex_per_capita_usd,USD per capita,365.9116768605415
AUS,Australia,PARTNER,2001,milex_share_of_gdp_pct,% of GDP,1.8597273264857674
AUS,Australia,PARTNER,2001,milex_share_of_govt_pct,% of govt spending,5.233755851583099
AUS,Australia,PARTNER,2002,milex_constant_2024_usd_millions,"USD millions, constant 2024",17417.24500750413
AUS,Australia,PARTNER,2002,milex_current_usd_millions,"USD millions, current",7946.76620159082
AUS,Australia,PARTNER,2002,milex_per_capita_usd,USD per capita,407.88932603741495
AUS,Australia,PARTNER,2002,milex_share_of_gdp_pct,% of GDP,1.8649042525656536
AUS,Australia,PARTNER,2002,milex_share_of_govt_pct,% of govt spending,5.354593312295448
AUS,Australia,PARTNER,2003,milex_constant_2024_usd_millions,"USD millions, constant 2024",17741.588096026222
AUS,Australia,PARTNER,2003,milex_current_usd_millions,"USD millions, current",9926.649415335525
AUS,Australia,PARTNER,2003,milex_per_capita_usd,USD per capita,503.68483383904993
AUS,Australia,PARTNER,2003,milex_share_of_gdp_pct,% of GDP,1.8396081848502148
AUS,Australia,PARTNER,2003,milex_share_of_govt_pct,% of govt spending,5.281482376080468
AUS,Australia,PARTNER,2004,milex_constant_2024_usd_millions,"USD millions, constant 2024",18473.05959251938
AUS,Australia,PARTNER,2004,milex_current_usd_millions,"USD millions, current",11995.219709505425
AUS,Australia,PARTNER,2004,milex_per_capita_usd,USD per capita,601.8417932913969
AUS,Australia,PARTNER,2004,milex_share_of_gdp_pct,% of GDP,1.8191683833542833
AUS,Australia,PARTNER,2004,milex_share_of_govt_pct,% of govt spending,5.235224825310622
AUS,Australia,PARTNER,2005,milex_constant_2024_usd_millions,"USD millions, constant 2024",19118.198903070133
AUS,Australia,PARTNER,2005,milex_current_usd_millions,"USD millions, current",13237.798498629218
AUS,Australia,PARTNER,2005,milex_per_capita_usd,USD per capita,656.555347080894
AUS,Australia,PARTNER,2005,milex_share_of_gdp_pct,% of GDP,1.793347817090834
AUS,Australia,PARTNER,2005,milex_share_of_govt_pct,% of govt spending,5.199497282445678
AUS,Australia,PARTNER,2006,milex_constant_2024_usd_millions,"USD millions, constant 2024",20139.7885002056
AUS,Australia,PARTNER,2006,milex_current_usd_millions,"USD millions, current",14239.77951309141
AUS,Australia,PARTNER,2006,milex_per_capita_usd,USD per capita,697.1235821021817
AUS,Australia,PARTNER,2006,milex_share_of_gdp_pct,% of GDP,1.814417083729927
AUS,Australia,PARTNER,2006,milex_share_of_govt_pct,% of govt spending,5.2648870179189915
AUS,Australia,PARTNER,2007,milex_constant_2024_usd_millions,"USD millions, constant 2024",21377.151511900563
AUS,Australia,PARTNER,2007,milex_current_usd_millions,"USD millions, current",17186.44096161731
AUS,Australia,PARTNER,2007,milex_per_capita_usd,USD per capita,828.0770051198338
AUS,Australia,PARTNER,2007,milex_share_of_gdp_pct,% of GDP,1.8077702699729175
AUS,Australia,PARTNER,2007,milex_share_of_govt_pct,% of govt spending,5.284417926729805
AUS,Australia,PARTNER,2008,milex_constant_2024_usd_millions,"USD millions, constant 2024",22156.62523919614
AUS,Australia,PARTNER,2008,milex_current_usd_millions,"USD millions, current",18633.092318274084
AUS,Australia,PARTNER,2008,milex_per_capita_usd,USD per capita,880.8116984087933
AUS,Australia,PARTNER,2008,milex_share_of_gdp_pct,% of GDP,1.7911208333299737
AUS,Australia,PARTNER,2008,milex_share_of_govt_pct,% of govt spending,5.1261105342102224
AUS,Australia,PARTNER,2009,milex_constant_2024_usd_millions,"USD millions, constant 2024",23825.72878483525
AUS,Australia,PARTNER,2009,milex_current_usd_millions,"USD millions, current",18960.138513012895
AUS,Australia,PARTNER,2009,milex_per_capita_usd,USD per capita,878.3241564577081
AUS,Australia,PARTNER,2009,milex_share_of_gdp_pct,% of GDP,1.9173286348837797
AUS,Australia,PARTNER,2009,milex_share_of_govt_pct,% of govt spending,5.0911828641555426
AUS,Australia,PARTNER,2010,milex_constant_2024_usd_millions,"USD millions, constant 2024",24102.87417349826
AUS,Australia,PARTNER,2010,milex_current_usd_millions,"USD millions, current",23217.69281573347
AUS,Australia,PARTNER,2010,milex_per_capita_usd,USD per capita,1056.343548674886
AUS,Australia,PARTNER,2010,milex_share_of_gdp_pct,% of GDP,1.8468010962166517
AUS,Australia,PARTNER,2010,milex_share_of_govt_pct,% of govt spending,5.020280656518074
AUS,Australia,PARTNER,2011,milex_constant_2024_usd_millions,"USD millions, constant 2024",23768.958776409287
AUS,Australia,PARTNER,2011,milex_current_usd_millions,"USD millions, current",26597.19865533806
AUS,Australia,PARTNER,2011,milex_per_capita_usd,USD per capita,1192.4930776707736
AUS,Australia,PARTNER,2011,milex_share_of_gdp_pct,% of GDP,1.749593390017852
AUS,Australia,PARTNER,2011,milex_share_of_govt_pct,% of govt spending,4.836930626578075
AUS,Australia,PARTNER,2012,milex_constant_2024_usd_millions,"USD millions, constant 2024",22936.004209944742
AUS,Australia,PARTNER,2012,milex_current_usd_millions,"USD millions, current",26216.58084843565
AUS,Australia,PARTNER,2012,milex_per_capita_usd,USD per capita,1157.1742396031925
AUS,Australia,PARTNER,2012,milex_share_of_gdp_pct,% of GDP,1.6642139448246034
AUS,Australia,PARTNER,2012,milex_share_of_govt_pct,% of govt spending,4.574848092277504
AUS,Australia,PARTNER,2013,milex_constant_2024_usd_millions,"USD millions, constant 2024",22736.78715641264
AUS,Australia,PARTNER,2013,milex_current_usd_millions,"USD millions, current",24825.262588816804
AUS,Australia,PARTNER,2013,milex_per_capita_usd,USD per capita,1077.0366836253197
AUS,Australia,PARTNER,2013,milex_share_of_gdp_pct,% of GDP,1.6309545857001149
AUS,Australia,PARTNER,2013,milex_share_of_govt_pct,% of govt spending,4.50561734754666
AUS,Australia,PARTNER,2014,milex_constant_2024_usd_millions,"USD millions, constant 2024",24676.81213374582
AUS,Australia,PARTNER,2014,milex_current_usd_millions,"USD millions, current",25783.708714004188
AUS,Australia,PARTNER,2014,milex_per_capita_usd,USD per capita,1100.7886034647393
AUS,Australia,PARTNER,2014,milex_share_of_gdp_pct,% of GDP,1.764997713805468
AUS,Australia,PARTNER,2014,milex_share_of_govt_pct,% of govt spending,4.8226705220829365
AUS,Australia,PARTNER,2015,milex_constant_2024_usd_millions,"USD millions, constant 2024",27201.48746206845
AUS,Australia,PARTNER,2015,milex_current_usd_millions,"USD millions, current",24046.205860255446
AUS,Australia,PARTNER,2015,milex_per_capita_usd,USD per capita,1011.694077885533
AUS,Australia,PARTNER,2015,milex_share_of_gdp_pct,% of GDP,1.9445296717651168
AUS,Australia,PARTNER,2015,milex_share_of_govt_pct,% of govt spending,5.2388676823958455
AUS,Australia,PARTNER,2016,milex_constant_2024_usd_millions,"USD millions, constant 2024",29786.8396851766
AUS,Australia,PARTNER,2016,milex_current_usd_millions,"USD millions, current",26382.94705001829
