country_iso3,country_name,mineral,year,production,unit,world_total,share_of_world_pct
AUS,Australia,Bauxite,2024,100000.0,thousand metric dry tons,428000.0,23.36
BRA,Brazil,Bauxite,2024,33000.0,thousand metric dry tons,428000.0,7.71
CAN,Canada,Bauxite,2024,,thousand metric dry tons,428000.0,
CHN,China,Bauxite,2024,80500.0,thousand metric dry tons,428000.0,18.81
DEU,Germany,Bauxite,2024,,thousand metric dry tons,428000.0,
IDN,Indonesia,Bauxite,2024,9900.0,thousand metric dry tons,428000.0,2.31
IND,India,Bauxite,2024,25000.0,thousand metric dry tons,428000.0,5.84
RUS,Russia,Bauxite,2024,5470.0,thousand metric dry tons,428000.0,1.28
TUR,Turkey,Bauxite,2024,3660.0,thousand metric dry tons,428000.0,0.86
USA,United States,Bauxite,2024,,thousand metric dry tons,428000.0,
VNM,Vietnam,Bauxite,2024,3710.0,thousand metric dry tons,428000.0,0.87
AUS,Australia,Bauxite,2025,97000.0,thousand metric dry tons,440000.0,22.05
BRA,Brazil,Bauxite,2025,33000.0,thousand metric dry tons,440000.0,7.5
CAN,Canada,Bauxite,2025,,thousand metric dry tons,440000.0,
CHN,China,Bauxite,2025,87000.0,thousand metric dry tons,440000.0,19.77
DEU,Germany,Bauxite,2025,,thousand metric dry tons,440000.0,
IDN,Indonesia,Bauxite,2025,10000.0,thousand metric dry tons,440000.0,2.27
IND,India,Bauxite,2025,25000.0,thousand metric dry tons,440000.0,5.68
RUS,Russia,Bauxite,2025,5700.0,thousand metric dry tons,440000.0,1.3
TUR,Turkey,Bauxite,2025,3800.0,thousand metric dry tons,440000.0,0.86
USA,United States,Bauxite,2025,,thousand metric dry tons,440000.0,
VNM,Vietnam,Bauxite,2025,3800.0,thousand metric dry tons,440000.0,0.86
AUS,Australia,Cobalt,2024,4780.0,metric tons,302000.0,1.58
CAN,Canada,Cobalt,2024,3350.0,metric tons,302000.0,1.11
CHN,China,Cobalt,2024,2000.0,metric tons,302000.0,0.66
COD,Congo (Kinshasa),Cobalt,2024,226000.0,metric tons,302000.0,74.83
CUB,Cuba,Cobalt,2024,3450.0,metric tons,302000.0,1.14
IDN,Indonesia,Cobalt,2024,35000.0,metric tons,302000.0,11.59
MDG,Madagascar,Cobalt,2024,3100.0,metric tons,302000.0,1.03
PHL,Philippines,Cobalt,2024,3100.0,metric tons,302000.0,1.03
RUS,Russia,Cobalt,2024,8000.0,metric tons,302000.0,2.65
TUR,Turkey,Cobalt,2024,2200.0,metric tons,302000.0,0.73
USA,United States,Cobalt,2024,200.0,metric tons,302000.0,0.07
AUS,Australia,Cobalt,2025,3700.0,metric tons,310000.0,1.19
CAN,Canada,Cobalt,2025,3500.0,metric tons,310000.0,1.13
CHN,China,Cobalt,2025,2000.0,metric tons,310000.0,0.65
COD,Congo (Kinshasa),Cobalt,2025,230000.0,metric tons,310000.0,74.19
CUB,Cuba,Cobalt,2025,2000.0,metric tons,310000.0,0.65
IDN,Indonesia,Cobalt,2025,44000.0,metric tons,310000.0,14.19
MDG,Madagascar,Cobalt,2025,3900.0,metric tons,310000.0,1.26
PHL,Philippines,Cobalt,2025,3700.0,metric tons,310000.0,1.19
RUS,Russia,Cobalt,2025,7700.0,metric tons,310000.0,2.48
TUR,Turkey,Cobalt,2025,1900.0,metric tons,310000.0,0.61
USA,United States,Cobalt,2025,300.0,metric tons,310000.0,0.1
AUS,Australia,Copper,2024,765.0,thousand metric tons,23000.0,3.33
CAN,Canada,Copper,2024,515.0,thousand metric tons,23000.0,2.24
CHL,Chile,Copper,2024,5510.0,thousand metric tons,23000.0,23.96
CHN,China,Copper,2024,1840.0,thousand metric tons,23000.0,8.0
COD,Congo (Kinshasa),Copper,2024,2990.0,thousand metric tons,23000.0,13.0
DEU,Germany,Copper,2024,,thousand metric tons,23000.0,
IDN,Indonesia,Copper,2024,1010.0,thousand metric tons,23000.0,4.39
IND,India,Copper,2024,27.0,thousand metric tons,23000.0,0.12
JPN,Japan,Copper,2024,,thousand metric tons,23000.0,
KOR,"Korea, Republic of",Copper,2024,,thousand metric tons,23000.0,
MEX,Mexico,Copper,2024,717.0,thousand metric tons,23000.0,3.12
PER,Peru,Copper,2024,2740.0,thousand metric tons,23000.0,11.91
RUS,Russia,Copper,2024,1020.0,thousand metric tons,23000.0,4.43
USA,United States,Copper,2024,1050.0,thousand metric tons,23000.0,4.57
AUS,Australia,Copper,2025,730.0,thousand metric tons,23000.0,3.17
CAN,Canada,Copper,2025,500.0,thousand metric tons,23000.0,2.17
CHL,Chile,Copper,2025,5300.0,thousand metric tons,23000.0,23.04
CHN,China,Copper,2025,1800.0,thousand metric tons,23000.0,7.83
COD,Congo (Kinshasa),Copper,2025,3200.0,thousand metric tons,23000.0,13.91
DEU,Germany,Copper,2025,,thousand metric tons,23000.0,
IDN,Indonesia,Copper,2025,710.0,thousand metric tons,23000.0,3.09
IND,India,Copper,2025,23.0,thousand metric tons,23000.0,0.1
JPN,Japan,Copper,2025,,thousand metric tons,23000.0,
KOR,"Korea, Republic of",Copper,2025,,thousand metric tons,23000.0,
MEX,Mexico,Copper,2025,690.0,thousand metric tons,23000.0,3.0
PER,Peru,Copper,2025,2700.0,thousand metric tons,23000.0,11.74
RUS,Russia,Copper,2025,1300.0,thousand metric tons,23000.0,5.65
USA,United States,Copper,2025,1000.0,thousand metric tons,23000.0,4.35
BRA,Brazil,Graphite (Natural),2024,58000.0,metric tons,1550000.0,3.74
CAN,Canada,Graphite (Natural),2024,11700.0,metric tons,1550000.0,0.75
CHN,China,Graphite (Natural),2024,1270000.0,metric tons,1550000.0,81.94
DEU,Germany,Graphite (Natural),2024,140.0,metric tons,1550000.0,0.01
IND,India,Graphite (Natural),2024,17600.0,metric tons,1550000.0,1.14
KOR,"Korea, Republic of",Graphite (Natural),2024,1000.0,metric tons,1550000.0,0.06
MDG,Madagascar,Graphite (Natural),2024,85000.0,metric tons,1550000.0,5.48
MEX,Mexico,Graphite (Natural),2024,706.0,metric tons,1550000.0,0.05
RUS,Russia,Graphite (Natural),2024,20000.0,metric tons,1550000.0,1.29
TUR,Turkey,Graphite (Natural),2024,2600.0,metric tons,1550000.0,0.17
UKR,Ukraine,Graphite (Natural),2024,900.0,metric tons,1550000.0,0.06
USA,United States,Graphite (Natural),2024,,metric tons,1550000.0,
VNM,Vietnam,Graphite (Natural),2024,500.0,metric tons,1550000.0,0.03
BRA,Brazil,Graphite (Natural),2025,65000.0,metric tons,1800000.0,3.61
