country_iso3,country_name,country_group,year,fdi_net_inflow_usd,gdp_constant_2015_usd,gdp_current_usd,gdp_per_capita_usd,population,trade_pct_gdp
BRN,Brunei Darussalam,ASEAN,2000,549607250.0,12244033143.1515,6570999087.56742,20130.2572346624,326424.0,87.0553329877697
BRN,Brunei Darussalam,ASEAN,2001,60694643.6567848,12423538115.8353,6096155767.38145,18287.8272281914,333345.0,91.0997876196857
BRN,Brunei Darussalam,ASEAN,2002,229671955.675395,12915688987.5154,6333082875.56937,18621.2922577525,340099.0,93.2161814722477
BRN,Brunei Darussalam,ASEAN,2003,123820911.146426,13378513545.1324,7167725261.92713,20677.9001143188,346637.0,89.085616098756
BRN,Brunei Darussalam,ASEAN,2004,113205866.961457,13392499225.471,8619178773.51458,24423.0946995548,352911.0,84.8821666638192
BRN,Brunei Darussalam,ASEAN,2005,175068516.562807,13391973527.4748,10547202620.5286,29386.2703822862,358916.0,81.6201140155232
BRN,Brunei Darussalam,ASEAN,2006,87839128.3133848,13940831854.3091,12644616418.691,34674.7995236452,364663.0,81.5709547429689
BRN,Brunei Darussalam,ASEAN,2007,257635717.488309,13416151463.6479,13432029484.4012,36217.3290706015,370873.0,81.0114146368958
BRN,Brunei Darussalam,ASEAN,2008,222184549.489168,12892826165.4277,15926456515.0049,42156.5685838672,377793.0,89.7454253523344
BRN,Brunei Darussalam,ASEAN,2009,325586827.786628,12647829762.7913,11912904509.8582,30946.4673773828,384952.0,90.2870882587894
BRN,Brunei Darussalam,ASEAN,2010,480722550.0,12994552864.5932,13707121038.4383,34937.5555357155,392332.0,95.3715460226132
BRN,Brunei Darussalam,ASEAN,2011,691170270.0,13481121714.8966,18524791062.657,46382.8274255349,399389.0,99.5379309038179
BRN,Brunei Darussalam,ASEAN,2012,864905530.0,13604222581.2368,19048443340.7732,46968.5971164922,405557.0,105.640902140819
BRN,Brunei Darussalam,ASEAN,2013,775642000.0,13315162382.5279,18094148098.6536,44003.0644273461,411202.0,110.939599584216
BRN,Brunei Darussalam,ASEAN,2014,573906207.836338,12981233119.3701,17097797386.0336,41026.5084247957,416750.0,102.421000963035
BRN,Brunei Darussalam,ASEAN,2015,171289167.823994,12930296870.1247,12930296870.1247,30625.1287744656,422212.0,89.8961882533585
BRN,Brunei Darussalam,ASEAN,2016,-150550827.310312,12609894752.9469,11400266044.6651,26663.2972950602,427564.0,87.319801332806
BRN,Brunei Darussalam,ASEAN,2017,467927550.316566,12777445780.0952,12128168045.1245,28024.3824580252,432772.0,85.1768604269985
BRN,Brunei Darussalam,ASEAN,2018,516202620.629746,12784137461.5724,13566908391.0895,30988.1190267227,437810.0,93.8980617666778
BRN,Brunei Darussalam,ASEAN,2019,373256767.246304,13278735842.9555,13469235364.7032,30426.5730656528,442680.0,108.509658357959
BRN,Brunei Darussalam,ASEAN,2020,565542275.429332,13429260053.625,12005799653.9835,26834.3592233943,447404.0,110.291003658452
BRN,Brunei Darussalam,ASEAN,2021,206462739.392454,13215632407.1015,14006496617.4458,31006.9636289785,451721.0,147.123112375318
BRN,Brunei Darussalam,ASEAN,2022,-290169984.940837,13000438095.7254,16681536466.7183,36632.9280952155,455370.0,146.973965879597
BRN,Brunei Darussalam,ASEAN,2023,-55927970.3793758,13147036779.4979,15095084656.1634,32890.5491812019,458949.0,136.86343465048
BRN,Brunei Darussalam,ASEAN,2024,29063018.6489884,13679822692.2189,15340808592.48,33153.4738913513,462721.0,132.587439642245
CHN,China,PARTNER,2000,42095300000.0,2825096197799.54,1223754919971.05,969.199513696287,1262645000.0,39.0109424774998
CHN,China,PARTNER,2001,47053000000.0,3059936242478.58,1355036590251.52,1065.40597574519,1271850000.0,38.0826469518334
CHN,China,PARTNER,2002,53073618897.4036,3342778183071.46,1489821682050.54,1163.55957673426,1280400000.0,42.1944423387413
CHN,China,PARTNER,2003,57900937467.3864,3681006926650.74,1683903309843.85,1306.97245408557,1288400000.0,51.0774801301803
CHN,China,PARTNER,2004,68117272181.2194,4053944733453.66,1984196551300.44,1530.92726215723,1296075000.0,58.6403340408439
CHN,China,PARTNER,2005,104108693867.085,4518455387849.41,2317551298052.05,1777.64496828464,1303720000.0,61.3600749408237
CHN,China,PARTNER,2006,124082035618.505,5091154930758.42,2791498472804.33,2129.25696999613,1311020000.0,63.5695798621627
CHN,China,PARTNER,2007,156249335203.201,5811552614974.09,3604055822571.63,2734.72709877693,1317885000.0,61.2664640006176
